State;Population;Percent;Rank
United States;1397150;0.58;0
Alabama;22.500;0.61;15
Alaska;2.700;0.49;33
Arizona;30.550;0.62;12
Arkansas;13.400;0.60;18
California;218.400;0.76;2
Colorado;20.850;0.53;27
Connecticut;12.400;0.44;37
Delaware;4.550;0.64;9
District of Columbia;14.550;2.77;
Florida;100.300;0.66;6
Georgia;55.650;0.75;4
Hawaii;8.450;0.78;1
Idaho;4.750;0.41;43
Illinois;49.750;0.51;30
Indiana;27.600;0.56;23
Iowa;7.400;0.31;49
Kansas;9.300;0.43;41
Kentucky;17.700;0.53;26
Louisiana;20.900;0.60;17
Maine;5.350;0.50;31
Maryland;22.300;0.49;32
Massachusetts;29.900;0.57;22
Michigan;32.900;0.43;40
Minnesota;24.250;0.59;20
Mississippi;13.650;0.61;14
Missouri;25.050;0.54;25
Montana;2.700;0.34;47
Nebraska;5.400;0.39;44
Nevada;12.700;0.61;13
New Hampshire;4500;0.43;39
New Jersey;30100;0.44;36
New Mexico;11750;0.75;3
New York;78600;0.51;29
North Carolina;44750;0.60;16
North Dakota;1650;0.30;50
Ohio;39950;0.45;34
Oklahoma;18350;0.64;8
Oregon;19750;0.65;7
Pennsylvania;43800;0.44;35
Rhode Island;4250;0.51;28
South Carolina;21000;0.58;21
South Dakota;2150;0.34;46
Tennessee;31200;0.63;10
Texas;125350;0.66;5
Utah;7200;0.36;45
Vermont;3000;0.59;19
Virginia;34500;0.55;24
Washington;32850;0.62;11
West Virginia;6100;0.42;42
Wisconsin;19150;0.43;38
Wyoming;1400;0.32;48
